,Store,Sales,Sales_CF,Percentage1,Percentage2,CF,Explanation
"0,1097.0,9672.5,9061.5,0.9,0.95,""[(-1845.2, 'Customers'), (11.05, 'AvgSalesPerCustomer'), (-4.0, 'Holidays_lastmonth')]"",""['1845 Kunden zu viel in diesem Monat', 'Durchschnittlcher Verkauf pro Kunde um 11€ zu niedrig', '4 Ferien- oder Feiertag(e) zu viel im vorherigen Monat']"""
"1,1097.0,9672.5,9249.7,0.94,0.96,""[(-327.0, 'Customers'), (-5.0, 'Holidays_thismonth'), (2.8, 'PromoInterval')]"",""['327 Kunden zu viel in diesem Monat', '5 Ferien- oder Feiertag(e) zu viel in diesem Monat', 'Promointervall 0 statt 2']"""
"2,1097.0,9672.5,9344.0,0.96,0.99,""[(-3.6, 'Holidays_lastmonth'), (-1.0, 'StoreType'), (1.0, 'Promo2')]"",""['4 Ferien- oder Feiertag(e) zu viel im vorherigen Monat', 'Store-Typ 2 statt 1', 'keine Teilnahme an Promo2']"""
"3,1097.0,9672.5,9621.4,0.98,1.0,""[(-3.6, 'Holidays_lastmonth'), (-0.17, 'SchoolHoliday'), (-0.03, 'StateHoliday')]"",""['4 Ferien- oder Feiertag(e) zu viel im vorherigen Monat', '5 schulfreie(r) Tag(e) zu viel in diesem Monat', '0 gesetzliche(r) Feiertag(e) zu viel im Monat']"""
"4,1097.0,9672.5,9709.7,1.0,1.02,""[(4.0, 'Holidays_nextmonth'), (-3.6, 'Holidays_lastmonth'), (-0.17, 'SchoolHoliday')]"",""['4 Ferien- oder Feiertag(e) zu wenig im nächsten Monat', '4 Ferien- oder Feiertag(e) zu viel im vorherigen Monat', '5 schulfreie(r) Tag(e) zu viel in diesem Monat']"""
"5,1097.0,9672.5,10054.0,1.02,1.04,""[(-3.6, 'Holidays_lastmonth'), (-1.0, 'Open'), (-1.0, 'Month')]"",""['4 Ferien- oder Feiertag(e) zu viel im vorherigen Monat', 'zu oft geöffnet', 'Änderung zu Monat 3']"""
"6,1097.0,9672.5,10107.7,1.04,1.06,""[(-3.6, 'Holidays_lastmonth'), (2.0, 'Holidays_thismonth'), (-1.0, 'Assortment')]"",""['4 Ferien- oder Feiertag(e) zu viel im vorherigen Monat', '2 Ferien- oder Feiertag(e) zu wenig in diesem Monat', 'Assortment-Typ 2 statt 1']"""
"7,1097.0,9672.5,10298.0,1.06,1.08,""[(-3.4, 'Holidays_lastmonth'), (-1.0, 'Assortment'), (1.0, 'Promo2')]"",""['3 Ferien- oder Feiertag(e) zu viel im vorherigen Monat', 'Assortment-Typ 2 statt 1', 'keine Teilnahme an Promo2']"""
"8,1097.0,9672.5,10510.9,1.08,1.1,""[(-3.5, 'Holidays_lastmonth'), (-1.0, 'Open'), (-1.0, 'Assortment')]"",""['4 Ferien- oder Feiertag(e) zu viel im vorherigen Monat', 'zu oft geöffnet', 'Assortment-Typ 2 statt 1']"""
"9,1097.0,9672.5,10706.0,1.1,1.12,""[(-3.5, 'Holidays_lastmonth'), (3.0, 'Holidays_nextmonth'), (-1.0, 'Open')]"",""['4 Ferien- oder Feiertag(e) zu viel im vorherigen Monat', '3 Ferien- oder Feiertag(e) zu wenig im nächsten Monat', 'zu oft geöffnet']"""
"10,1097.0,9672.5,11109.0,1.14,1.16,""[(-609.0, 'Customers'), (-4.0, 'Holidays_thismonth'), (-1.5, 'Holidays_lastmonth')]"",""['609 Kunden zu viel in diesem Monat', '4 Ferien- oder Feiertag(e) zu viel in diesem Monat', '2 Ferien- oder Feiertag(e) zu viel im vorherigen Monat']"""
"11,1097.0,9672.5,11376.1,1.16,1.18,""[(-1157.3, 'Customers'), (5.44, 'AvgSalesPerCustomer'), (5.0, 'Holidays_thismonth')]"",""['1157 Kunden zu viel in diesem Monat', 'Durchschnittlcher Verkauf pro Kunde um 5€ zu niedrig', '5 Ferien- oder Feiertag(e) zu wenig in diesem Monat']"""
"12,1097.0,9672.5,11437.4,1.15,1.2,""[(-1001.4, 'Customers'), (3.48, 'AvgSalesPerCustomer'), (2.0, 'Holidays_thismonth')]"",""['1001 Kunden zu viel in diesem Monat', 'Durchschnittlcher Verkauf pro Kunde um 3€ zu niedrig', '2 Ferien- oder Feiertag(e) zu wenig in diesem Monat']"""
"13,1097.0,9672.5,11550.5,1.18,1.2,""[(-1088.9, 'Customers'), (-5.0, 'Holidays_thismonth'), (3.92, 'AvgSalesPerCustomer')]"",""['1089 Kunden zu viel in diesem Monat', '5 Ferien- oder Feiertag(e) zu viel in diesem Monat', 'Durchschnittlcher Verkauf pro Kunde um 4€ zu niedrig']"""
